_DCYJD,（     ）对柴油机点火提前角有影响。,"压缩比","曲轴转速"
EDCFJC,EGR电磁阀检测方法正确的是（     ）。,"直流电压档","电阻档"
VZYDJG,VTEC 作用的结果是 ，发动机在高速状态下延长进、排气门同时开启的“气门重叠" 时间，使发动机的（     ）得到提高。,"功率","转矩"
BZCGQJ,爆震传感器检测方法正确的是（     ）。,"应用直流电压档检测","示波器显示波形为一突变波形"
BZCGQJ,爆震传感器检测检测方法正确的是（     ）。,"应用直流电压档检测","示波器显示波形为一突变波形"
BZRGZY,不制热故障应排除（     ）。,"送风系统故障","水路系统故障","加热系统故障"
CLJSDA,车辆技术档案的主要内容有（     ）。,"车辆的基本情况和主要性能","运行使用情况","检测维修情况","事故处理情况"
CLZLMS,车轮在路面上的附着系数取决于（     ）等因素。,"道路的材料","路面状况","胎面花纹和材料","汽车速度"
CSCGQZ,车速传感器主要有（     ）。,"舌簧开关型","光电耦合型"
CYJDKX,柴油机电控系统一般对（     ）采用闭环控制。,"喷油量","喷油正时"
CYJPYB,柴油机喷油泵的试验和调整主要三个项目内容是（     ）。,"供油时间","供油量","调速器"
DCMCSQ,电磁脉冲式曲轴位置传感器检测方法正确的是（     ）。,"交流电压档","电阻档"
DCSPYQ,电磁式喷油器按运动配合的偶件不同可以分为（     ）。,"轴针式","球阀式","片阀式"
DFS_QK,当发生（     ）情况时，发动机的失效保护功能开始起作用。,"冷却液温度传感器电路断路","节气门位置传感器电路断路","进气温度传感器电路断路","油泵内部电路断路"
DHMKY_,点火模块由（     ）组成。,"电接头","晶体管电路","壳体"
DHYGZK,当怀疑故障可能是由用电负荷过大引起时，不可采用（     ）法来进行诊断。,"振动","加热","水淋"
DKFDJD,电控发动机断油控制包括（     ）。,"发动机超速断油","发动机减速断油","汽车超速行驶断油"
DKYLZD,电控液力自动变速器的信号输入装置有（     ）。," 传感器","开关","电磁阀","节气门阀"
DLDJBZ,电路的基本组成部分是（     ）。,"电源","负载","连接导线"
DPSSLH,多片湿式离合器的安全阀可安装在（     ）上。,"钢片","离合器鼓"
DPSSLH,多片湿式离合器由（     ）组成。," 摩擦片","活塞","离合器鼓"
DSGG_J,怠速过高，检测方法正确的是（     ）。,"检测是否真空漏气","检测怠速控制装置"
DYCGQD,带氧传感器的发动机控制系统在（     ）情况下进行开环控制。,"发动机起动时","发动机暖车过程中","节气门全开时"
DZKTXT,导致空调系统制冷量不足的原因为（     ）。,"制冷剂不足","冷凝器风机不转","压缩机电磁离合器打滑","热空气进入车内"
FBSZDX,防抱死制动系统按结构可分为（     ）等,"整体式","分置式"
FDJDYX,发动机的异响主要有（     ）的机械故障所造成的异响。,"曲柄连杆机构","配气机构"
FDJDZY,发动机的主要性能指标有（     ）。,"有效扭矩","有效功率","有效燃油消耗率"
FDJJSJ,发动机计算机将发动机（     ）信号作为主控信号，确定基本喷油量。,"转速","负荷"
FDJQZW,发动机曲轴位置及转速传感器主要类型有（     ）。,"霍尔效应式","光电式","电磁脉冲式"
FDJSWG,发动机水温过低会造成（     ）。,"动力下降","油耗增加","不宜启动","加剧磨损"
FDJTRG,发动机突然过热，其原因主要有（     ）。,"工作不稳定","有断火现象","有过热现象"
FDLXJY,非独立悬架用转向传动机构的各杆件之间都采用球形铰链连接，并设有（     ）结构措施。,"缓冲吸振","自动消除磨损后间隙"
FS_GZS,发生（     ）故障时，后备功能不起作用。,"曲轴位置传感器停止输出G和Ne信号","怠速控制（ISC)阀的内部电路断开","点火器的IGF信号不能反馈到发动机ECU"
FSCDDD,风扇传动带的挠度过大，会造成（     ）。,"传动带打滑","发动机冷却系工作不良"
GFZCLZ,高分子材料主要有（     ）。,"塑料","合成纤维","胶粘剂","涂料"
GYDLCS,感应电流产生的条件有（     ）。,"电路是闭合且通的","穿过闭合电路的磁通量发生变化","电路的一部分在磁场中做切割磁感线运动"
GZDBSQ,给自动变速器作失速试验，可检验（     ）。,"液力变矩器单向离合器的性能","齿轮变速器中摩擦片的工作","发动机的输出功率"
GZSZSY,故障树中使用的符号，不属于逻辑门符号的是（     ）。,"矩形符号","圆形符号","菱形符号"
GZZZDX,故障自诊断系统的功用是（     ）。,"故障警告","故障码储存","安全保障","故障运行"
JCJTGD,检查晶体管点火系统高压回路部件（     ）电阻时，各电阻值应均为1±0.4kΩ。,"分火头","火花塞插头"
JCSTNZ,检查桑塔纳转向油泵压力：发动机怠速运转时，急速关闭截止阀（不超过5s），额定压力应为637～784kP。压力不符合要求时，应检查（     ）程度，并更换相应损坏机件。,"泵体内壁的磨损","流量限制阀"
JXXGZZ,间歇性故障诊断测试验中可使用下列哪些方法（     ）。,"振动法","加热法","水淋法"
KTXTGZ,空调系统故障包括（     ）。,"暖风系统","制冷系统","通风系统"
LGYHS_,连杆与活塞、活塞销组装后应检验：（     ）。,"活塞连杆组的质量","活塞裙部椭圆的变化情况","活塞裙部轴线对连杆大端孔轴线的垂直度"
LHQZCR,离合器中充入液压油时，离合器（     ）。,"安全阀关闭","安全阀打开"
PCZLJG,排除制冷剂过多故障时应做到（     ）。,"正确连接空调回收仪","排除多余制冷剂"
PCZLJG,排除制冷剂过少故障时应做到（     ）。,"检测各连接部件密封","检测管路是否泄漏","抽真空","加液"
PTSTNJ,普通桑塔纳轿车通过二级维护前的排放检测可以分析（     ）。,"进气预热装置是否正常","化油器是否需要清洗","活塞、气门、气缸等是否需要检修"
PYBDZY,喷油泵的主要调整内容是（     ）。,"供油时间","供油量"
PYQDSY,喷油器的试验与调整内容有（     ）的检查。,"喷油器密封性的检查、喷油压力的试验与调整","喷雾质量的检查"
PYQJCF,喷油器检测方法正确的是（     ）。,"直流电压档","电阻档"
PZFDDG,膨胀阀堵的故障，表现为（     ）。,"进口小滤网部位发生结霜现象","气流声断断续续","用小扳手轻敲膨胀阀体，气流声变化，且白霜渐渐融化"
QCCYYR,汽车采用余热供暖，可分为（     ）。,"废气水暖式","水暖式"
QDJDGZ,起动机的工作顺序是（     ）。,"首先接触盘结合","首先吸引线圈和保持线圈通电","其次小齿轮和飞轮结合"
QDJDXL,起动机单向离合器维修质量检验：（     ），否则应予更换新件。,"当顺时针转动时,齿轮应被锁止","当逆时针方向转动齿轮时，应灵活自如"
QGMSDZ,气缸磨损的主要原因有（     ）。,"机械磨损","磨料磨损"
QMDJY_,气门的检验。一般可用观察的方法检查，其工作面（     ）时，就应进行修磨。,"烧蚀","过宽","凹陷"
QTDQSB,其他电气设备检验：装备有其他与制动、行车安全有关的电子控制系统的元器件，应按原设计（     ）、电子控制装置（ECU）应无故障码显示。,"装备齐全","监控有效","正常"
RHXYJY,润滑系应具有（     ）等作用。,"散热","润滑","清洗","密封"
SLDWDJ,四轮定位的检测项目包括（     ）,"转向轮前束值","后轮前束值","转向轮外倾角","主销后倾角"
SLDWDJ,四轮定位的检测项目包括（     ）。,"转向轮前束值","后轮前束值","转向轮外倾角","主销后倾角"
SLDWDQ,四轮定位的前、后轮定位参数包括（     ）,"转向轮前束值","后轮前束值","转向轮外倾角","主销后倾角"
SSSYSZ,失速试验是自动变速器的一项重要试验，其规范要求有（     ）。,"加速踏板要踩到底","正常状况下，发动机转速应保持在2200~2400r/min"
STNJXF,桑塔纳JR型发动机的水泵叶轮为工程塑料压注的闭式叶轮，（     ）。,"质量轻","成本低","效率高"
STNBSQ,桑塔纳变速器同步器滑块磨损严重、（     ）使结合套与花键毂键齿的配合间隙超过0.50mm等，应更换新件。,"滑块弹簧弹力减弱或折断","键齿磨损"
SYLNQJ,属于冷凝器检修项目的是（     ）。,"散热片的检查","是否漏气","是否赃物堵塞接头","管道有无损伤"
TGDCFY,碳罐电磁阀由（     ）组成。,"电磁线圈","回位弹簧","壳体"
TGZHXN,提高着火性能的方法是（     ）。,"扩大火花塞间隙","缩小中心电极","增加中心电极伸出量"
TLZTLG,凸轮轴凸轮工作表面出现（     ）应修复或更换。,"击伤","麻点","毛糙"
TSQDZY,调速器的主要试验和调整项目是（     ）起作用的转速。,"加速","高速","低速"
TYCXBJ,通用车系步进电机式怠速阀检测方法正确的是 （     ）。,"TECH2读取步数","电阻档"
WLBZHS,为了保证活塞环的正常工作状况，对新活塞环应检验其弹力、（     ）和背隙，必须符合技术标准，才能装配使用。,"漏光度","端间隙","侧隙"
XLMSZ_,下列描述中，正确的制动开关检测方法是（     ）。,"查看数据流，看制动开关的状态是否改变"," 用万用表测制动开关动作信号"
XLNXQK,下列哪些情况怠速会升高（     ）。,"水温低","开空调冷风"
XLQCXL,下列汽车修理工时定额方法中（     ）方法准确性较低。,"经验估计法","比较类推法","典型推算法"
XLSYCL,下列属于车辆主要技术经济定额和指标的是（     ）。,"完好率","车辆新度系数","小修频率","轮胎翻新率"
XLSYDZ,下列属于大众车系专用诊断仪的是（     ）。,"V.A.Gl551","V.A.Gl552"
XLSYQC,下列属于汽车修理工时定额的原则的是（     ）。,"现实性","合理性","发展性"
XLSYQC,下列属于汽车修理工时计算的原则的是（     ）。,"现实性","合理性","发展性"
XLSYQC,下列属于汽车中级修理工教学设备的是（     ）。,"烟度计","气缸压力表"
XLSYYQ,下列属于仪器设备诊断法的是（     ）。,"用试灯检查电路是否断路","用尾气分析仪检测尾气"
XLSYYS,下列属于运输单位车辆技术管理的主要职责的是（     ）。,"正确使用车辆更新改造资金和大修基金","推广现代化管理方法"
XLXXZ_,下列选项中，属于自动变速器油液的作用的是。,"使换挡执行元件运行","在液力变矩器的非锁止状态下作动力传输"
XMGYQZ,下面关于曲轴箱强制通风阀（PCV)  的说法，错误的是（     ）。,"窜缸混合气通过PCV阀进到排气歧管再燃烧","发动机停机时PCV阀是开启的","PCV阀是一种电磁阀（仅有全开或全闭两种状态）"
XMNXSQ,下面那些是汽车的传感器（     ）。,"空气流量计","水温传感器"
XMNXYY,下面哪些原因是产生爆燃的原因（     ）。,"汽缸内积碳过多","燃油使用不当","发动机过热"
XMYGDY,下面有关电压和电流讲述正确的是（     ）。,"在导体上施加电压就会有电流流过","电流的单位是安培","电压与电流成正比","电流的符号是I"
YGPZFM,有关膨胀阀描述正确的是（     ）。,"调整进入蒸发器的制冷剂流量","降低制冷剂温度"
YLBJQ_,液力变矩器（     ）。,"涡轮是从动元件","导轮与变速器输入轴相连"
YLBJQD,液力变矩器的作用是（     ）。,"  变速","变矩","传递转矩"
YLBJQN,液力变矩器内部油流的特点是（     ）。,"既有圆周运动，又有环形运动，形成首尾相接的油流","被泵轮加速的油流先冲击涡轮，再流向导轮并改变方向"
YQDCCD,引起电磁场的原因是（     ）。,"由强弱变化的电流引起","由变速运动的带电粒子引起"
YQDLBZ,引起动力不足故障的是（     ）。,"气缸压缩压力低","排气管堵","传感器信号错误","系统油压过低或过高"
YQKTXT,引起空调系统不出风故障的是（     ）。,"风机开关损坏","风机电刷损坏","连接线路断路","保险丝烧断"
YQPFCB,引起排放超标故障的是（     ）。,"喷油器喷油故障","传感器信号不准确","点火高压弱","三元催化装置失效"
YQYSJB,引起压缩机不工作的故障是（     ）。,"电磁离合器打滑","压缩机皮带断裂","压缩机故障"
YQYSJD,引起压缩机电磁离合器不吸合故障的是（     ）。,"电磁线圈断路","温控开关断开","压力保护开关断开"
YWCGQJ,油温传感器检测方法正确的是（     ）。,"直流电压档","电阻档"
YWCGQY,油温传感器由（     ）组成。,"壳体","热敏电阻","电接头"
YXQCHS,影响汽车行驶平顺性的因素有（     ）。,"悬架结构","悬架阻尼","轮胎"
YXSQCG,以下属汽车故障特征的是（     ）。,"   运行异常","气味异常","外观异常","温度异常"
YXXTSY,以下系统属于共轨喷射系统的有（     ）。,"日本电装公司ECD-U2系统","美国BKM公司Servojet系统","美国CAterpillAr公司HEUI系统"
ZCKTBZ,造成空调不制冷故障的是（     ）。,"压缩机故障","制冷剂软管破裂","电磁离合器故障"
ZCKTXT,造成空调系统不制热的故障是（     ）。,"冷却液控制阀卡死","冷却液控制阀拉索断裂","热风管道堵塞"
ZCQCKT,造成汽车空调不制冷故障的是（     ）。,"制冷剂不足","膨胀阀堵塞或蒸发器片堵塞","冷凝器片堵塞或系统温度过高，制冷效果差","空调系统管路泄露"
ZDBSQT,自动变速器通过控制不同的（     ）工作，可获得不同的传动比。,"离合器","锁止离合器"
ZDBSQZ,自动变速器中的制动器有（     ）。,"片式"," 盘式"
ZDBSQZ,自动变速器主要由（     ）组成。,"液压控制系统","电子控制系统","齿轮变速机构"
ZDCLJS,制定车辆技术经济定额常用的方法有（     ）。,"三面统筹法","比例法","系数法"
ZDHXCL,在单行星齿轮系机构处于增矩状态时（     ）。,"太阳轮输入、齿圈锁止、行星架输出","齿圈输入、太阳轮锁止、行星架输出"
ZDHXCX,在单行星齿系机构处于增矩状态时（     ）。,"太阳轮输入、齿圈锁止、行星架输出","齿圈输入、太阳轮锁止、行星架输出"
ZJCDHX,在检测点火线圈技术要求时，应保证点火线圈绝缘盖板（     ）。,"清洁","干燥","无漏电"
ZJFGDL,直接分缸独立点火系统有（     ）特点。,"减少了故障发生点","降低了电磁波干扰","节省电能消耗","点火能量最高"
ZLJGDB,制冷剂过多表现为（     ）。,"高压侧压力高","低压侧压力高"
ZLJGSB,制冷剂过少表现为（     ）。,"制冷剂有气泡，泡沫流过","高压侧压力低","低压侧压力低"
ZQCHSZ,在汽车行驶中出现（     ）时，需进行四轮定位的检测和调整。,"直线行驶困难","前轮摇摆不定，行驶方向飘移","轮胎出现不正常磨损","汽车前部经碰撞事故维修后"
ZSZDLZ,在数字电路中，通常高电位用代码（     ）表示，低电位用代码（     ）表示。,"0，1","1，0"
ZYLTYF,主油路调压阀调节（     ）油压。,"换挡执行元件","主油路","液压泵输出"
ZZDXTD,自诊断系统的作用是（     ）。,"向使用者发出故障警告","向维修人员提供故障信息","具备带故障运行控制功能"
